nombre,descripcion,precio,descuento,stock,imagenes,soft_delete,category,marca
"Corsair X 862","Corsair X 862 — Producto de la línea PCs de Escritorio. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",383030,11,44,"https://source.unsplash.com/800x600/?desktop%20computer;https://source.unsplash.com/800x600/?desktop%20computer,tech;https://source.unsplash.com/800x600/?desktop%20computer,product",false,2,"Corsair"
"Dell Micrófonos 388","Dell Micrófonos 388 — Producto de la línea Micrófonos. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",641312,12,183,"https://source.unsplash.com/800x600/?microphone;https://source.unsplash.com/800x600/?microphone,tech;https://source.unsplash.com/800x600/?microphone,product",false,15,"Dell"
"Kingston Mechanical MK 46","Kingston Mechanical MK 46 — Producto de la línea Teclados. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",219485,0,171,"https://source.unsplash.com/800x600/?mechanical%20keyboard;https://source.unsplash.com/800x600/?mechanical%20keyboard,tech;https://source.unsplash.com/800x600/?mechanical%20keyboard,product",false,12,"Kingston"
"Dell Gabinetes 804","Dell Gabinetes 804 — Producto de la línea Gabinetes. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",433735,0,103,"https://source.unsplash.com/800x600/?pc%20case;https://source.unsplash.com/800x600/?pc%20case,tech;https://source.unsplash.com/800x600/?pc%20case,product",false,10,"Dell"
"Sony 37GB 4039MHz","Sony 37GB 4039MHz — Producto de la línea Memorias RAM. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",96117,22,169,"https://source.unsplash.com/800x600/?ram%20memory;https://source.unsplash.com/800x600/?ram%20memory,tech;https://source.unsplash.com/800x600/?ram%20memory,product",false,5,"Sony"
"Dell Impresoras 104","Dell Impresoras 104 — Producto de la línea Impresoras Láser. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",706614,0,103,"https://source.unsplash.com/800x600/?printer;https://source.unsplash.com/800x600/?printer,tech;https://source.unsplash.com/800x600/?printer,product",false,18,"Dell"
"Brother Volantes 505","Brother Volantes 505 — Producto de la línea Volantes. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",373878,12,173,"https://source.unsplash.com/800x600/?gaming%20controller;https://source.unsplash.com/800x600/?gaming%20controller,tech;https://source.unsplash.com/800x600/?gaming%20controller,product",false,22,"Brother"
"Kingston Switches 898","Kingston Switches 898 — Producto de la línea Switches. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",154628,17,145,"https://source.unsplash.com/800x600/?network%20switch;https://source.unsplash.com/800x600/?network%20switch,tech;https://source.unsplash.com/800x600/?network%20switch,product",false,31,"Kingston"
"Kingston Slim 875","Kingston Slim 875 — Producto de la línea PCs de Escritorio. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",1053119,19,37,"https://source.unsplash.com/800x600/?desktop%20computer;https://source.unsplash.com/800x600/?desktop%20computer,tech;https://source.unsplash.com/800x600/?desktop%20computer,product",false,2,"Kingston"
"Lenovo Switches 386","Lenovo Switches 386 — Producto de la línea Switches. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",1137544,0,141,"https://source.unsplash.com/800x600/?network%20switch;https://source.unsplash.com/800x600/?network%20switch,tech;https://source.unsplash.com/800x600/?network%20switch,product",false,31,"Lenovo"
"Sony Barras 702","Sony Barras 702 — Producto de la línea Barras de sonido. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",928078,24,69,"https://source.unsplash.com/800x600/?soundbar;https://source.unsplash.com/800x600/?soundbar,tech;https://source.unsplash.com/800x600/?soundbar,product",false,28,"Sony"
